clip_A,clip_B,clip_C,simple_chroma_c1,simple_chroma_c2,simple_chroma_c3,simple_chroma_c4,simple_chroma_c5,simple_chroma_c6,simple_mfcc_c1,simple_mfcc_c2,simple_mfcc_c3,simple_mfcc_c4,simple_mfcc_c5,simple_mfcc_c6,"y = sim(A,B) > sim(A,C) ^ sim(B,A) > sim(B,C)"
58285|d/janine_johnson-telemann_harpsichord_solos_from_der_getreue_music_meister-27-suite_gigue_pezold-117-146.mp3,52226|1/jeff_wahl-guinevere-14-tristan_and_isolde-320-349.mp3,2634|4/jay_kishor-the_color_of_night-01-malkauns-1480-1509.mp3,5.287503304038224,7.9271390055008055,8.6263269232359647,8.8367679714277738,8.3538925718747628,6.2797143498063663,1317.9262078859545,921.19464445591984,1113.1812603746798,1267.1110475276148,911.77997752004342,1141.5290857237867,1
58285|d/janine_johnson-telemann_harpsichord_solos_from_der_getreue_music_meister-27-suite_gigue_pezold-117-146.mp3,52226|1/jeff_wahl-guinevere-14-tristan_and_isolde-320-349.mp3,2634|4/jay_kishor-the_color_of_night-01-malkauns-1480-1509.mp3,6.2797143498063663,8.6263269232359647,7.9271390055008055,8.3538925718747628,8.8367679714277738,5.287503304038224,1141.5290857237867,1113.1812603746798,921.19464445591984,911.77997752004342,1267.1110475276148,1317.9262078859545,1
51409|5/paul_beier-simone_molinaro-14-frais___gaillard__canzone_francese_a_quattro_di_clemens_non_papa-175-204.mp3,55261|8/jacob_heringman-josquin_des_prez_lute_settings-18-newsidler__adieu_mes_amours-146-175.mp3,44825|6/norine_braun-crow-10-wingsphoenix-59-88.mp3,7.860961026364385,10.495555777810349,10.136558956301968,9.9212640212903533,7.0287129775927681,6.0700371198308343,517.35075452846991,845.16628878401002,1349.7956398963934,1392.0815173137871,1095.6488673030472,539.85413324515366,1
51409|5/paul_beier-simone_molinaro-14-frais___gaillard__canzone_francese_a_quattro_di_clemens_non_papa-175-204.mp3,55261|8/jacob_heringman-josquin_des_prez_lute_settings-18-newsidler__adieu_mes_amours-146-175.mp3,44825|6/norine_braun-crow-10-wingsphoenix-59-88.mp3,6.0700371198308343,10.136558956301968,10.495555777810349,7.0287129775927681,9.9212640212903533,7.860961026364385,539.85413324515366,1349.7956398963934,845.16628878401002,1095.6488673030472,1392.0815173137871,517.35075452846991,1
58843|8/jacob_heringman-blame_not_my_lute-49-grene_sleves-0-29.mp3,37140|0/american_bach_soloists-joseph_haydn__masses-08-sanctus__adagio__allegro-117-146.mp3,8725|b/satori-journey_to_other_worlds-02-other_worlds-204-233.mp3,7.0870387066036455,6.953078369916418,7.8956794552925151,7.3568670840231247,7.3356314093058756,8.8485953836557307,1189.9212277894881,1248.1188014212498,1100.6346328372622,967.73839912942606,1286.0389131881386,1044.8611386089451,1
58843|8/jacob_heringman-blame_not_my_lute-49-grene_sleves-0-29.mp3,37140|0/american_bach_soloists-joseph_haydn__masses-08-sanctus__adagio__allegro-117-146.mp3,8725|b/satori-journey_to_other_worlds-02-other_worlds-204-233.mp3,8.8485953836557307,7.8956794552925151,6.953078369916418,7.3356314093058756,7.3568670840231247,7.0870387066036455,1044.8611386089451,1100.6346328372622,1248.1188014212498,1286.0389131881386,967.73839912942606,1189.9212277894881,1
54892|d/drevo-christian_themes_in_ukrainian_folk_songs-17-through_the_wide_field_through_the_deep_sea-88-117.mp3,43402|d/the_west_exit-nocturne-10-nine_lives-204-233.mp3,43640|c/liquid_zen-seventythree-10-passing_cars-0-29.mp3,7.1972970088320602,4.4789213752419093,9.6225757841698094,7.4789498719985046,5.3017675654441057,7.1032272843726485,1725.4720295325924,1351.2189196583695,1772.7259006521247,1265.1002508107404,1380.8944740399781,1789.2752222444515,1
54892|d/drevo-christian_themes_in_ukrainian_folk_songs-17-through_the_wide_field_through_the_deep_sea-88-117.mp3,43402|d/the_west_exit-nocturne-10-nine_lives-204-233.mp3,43640|c/liquid_zen-seventythree-10-passing_cars-0-29.mp3,7.1032272843726485,9.6225757841698094,4.4789213752419093,5.3017675654441057,7.4789498719985046,7.1972970088320602,1789.2752222444515,1772.7259006521247,1351.2189196583695,1380.8944740399781,1265.1002508107404,1725.4720295325924,1
6352|d/shiva_in_exile-ethnic-02-breathing-30-59.mp3,43037|4/rapoon-the_kirghiz_light__cd_1-10-jacobs_drum-88-117.mp3,7445|7/artemis-gravity-02-fountain_of_life-59-88.mp3,1.8483174165041365,6.7959186401663771,7.2372598178472201,4.7597254302791132,4.0444751582877814,2.1897786330373834,486.8261799426682,582.4680291567895,846.82391978190799,839.40498145668403,561.5802444862685,580.66888620316104,1
6352|d/shiva_in_exile-ethnic-02-breathing-30-59.mp3,43037|4/rapoon-the_kirghiz_light__cd_1-10-jacobs_drum-88-117.mp3,7445|7/artemis-gravity-02-fountain_of_life-59-88.mp3,2.1897786330373834,7.2372598178472201,6.7959186401663771,4.0444751582877814,4.7597254302791132,1.8483174165041365,580.66888620316104,846.82391978190799,582.4680291567895,561.5802444862685,839.40498145668403,486.8261799426682,1
3574|1/the_rajdhani_quartet-the_gandhi_memorial_concert-01-raga_hansa_kalyani-1277-1306.mp3,50949|4/burnshee_thornside-the_art_of_not_blending_in-13-til_i_met_you-0-29.mp3,36474|c/strojovna_07-number_1-08-na_bednicke_stal-117-146.mp3,11.137570634971535,6.4240547073445526,7.7800807584442522,12.115604945705035,7.1906258170999688,4.5671035783497933,855.34171390778579,810.10875093876098,725.39931287837567,1331.2327435751663,815.33294646413174,603.32747800499817,1
3574|1/the_rajdhani_quartet-the_gandhi_memorial_concert-01-raga_hansa_kalyani-1277-1306.mp3,50949|4/burnshee_thornside-the_art_of_not_blending_in-13-til_i_met_you-0-29.mp3,36474|c/strojovna_07-number_1-08-na_bednicke_stal-117-146.mp3,4.5671035783497933,7.7800807584442522,6.4240547073445526,7.1906258170999688,12.115604945705035,11.137570634971535,603.32747800499817,725.39931287837567,810.10875093876098,815.33294646413174,1331.2327435751663,855.34171390778579,1
43747|2/saros-soundscapes-10-prelude_3-0-29.mp3,5473|a/bjorn_fogelberg-karooshi_porn-01-trioxidation-262-291.mp3,9816|8/justin_bianco-phoenix-02-so_softly-88-117.mp3,5.7820220833342892,8.070852178518809,7.1676830827015117,7.2423999704626274,8.8186448928537366,7.6225915598646168,917.61750868960257,680.50204909811146,948.69308622197093,954.78324005266199,1113.0188930512495,854.3703187004877,1
43747|2/saros-soundscapes-10-prelude_3-0-29.mp3,5473|a/bjorn_fogelberg-karooshi_porn-01-trioxidation-262-291.mp3,9816|8/justin_bianco-phoenix-02-so_softly-88-117.mp3,7.6225915598646168,7.1676830827015117,8.070852178518809,8.8186448928537366,7.2423999704626274,5.7820220833342892,854.3703187004877,948.69308622197093,680.50204909811146,1113.0188930512495,954.78324005266199,917.61750868960257,1
28952|3/etherfysh-box_of_fysh-06-sidewalk-320-349.mp3,14627|f/dac_crowell-redshifted_harmonies-03-redshifted_harmonies-59-88.mp3,17471|b/belief_systems-eponyms-04-electro_kinetic-30-59.mp3,8.3720390504585254,11.786625170863653,7.2240587878159417,6.7598154521599128,10.695232100839323,4.2932013905240094,896.27192739162467,1069.9203032597441,1668.3767868951031,1750.8823288655574,1121.4352076998498,1302.9168221164732,1
28952|3/etherfysh-box_of_fysh-06-sidewalk-320-349.mp3,14627|f/dac_crowell-redshifted_harmonies-03-redshifted_harmonies-59-88.mp3,17471|b/belief_systems-eponyms-04-electro_kinetic-30-59.mp3,4.2932013905240094,7.2240587878159417,11.786625170863653,10.695232100839323,6.7598154521599128,8.3720390504585254,1302.9168221164732,1668.3767868951031,1069.9203032597441,1121.4352076998498,1750.8823288655574,896.27192739162467,1
31786|e/c_layne-the_sun_will_come_out_to_blind_you-07-how_soon_i_forget-117-146.mp3,52858|5/kammen___swan-wild_wood-15-lullaby_set-204-233.mp3,9386|0/paul_berget-the_siena_manuscript_on_steel_string_guitar-02-recercar_2_steel_string_guitar-0-29.mp3,6.0196633204887693,6.7166714604296391,7.2828740615202463,7.4766954421686407,6.7166714604296383,5.8656050119249743,612.2615598735631,919.99361500648206,1122.4283199581166,1079.859920748715,890.77508014350087,647.98871147841908,1
